,index,model_names,ratings,price,imgURL,battery,storage,ram,processor,android_version
320,322,"REDMI A2 (Aqua Blue, 32 GB)",3.9,6953,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/y/x/a2-mobzc1pin-redmi-original-imagpuzrt9tjdcdz.jpeg?q=70,5000,32,2,Heilo36P,12
321,323,"REDMI A2 (Sea Green, 64 GB)",4.1,7632,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/g/t/a2-mobzc1pin-redmi-original-imagpvyagktrdava.jpeg?q=70,5000,64,4,not mentioned,13
322,324,"REDMI A2 (Classic Black, 64 GB)",4.1,7640,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/f/s/a2-mobzc1pin-redmi-original-imagpuzhqhbphcg2.jpeg?q=70,5000,64,4,not mentioned,13
323,325,"REDMI A2 (Sea Green, 32 GB)",3.9,7295,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/g/t/a2-mobzc1pin-redmi-original-imagpvyagktrdava.jpeg?q=70,5000,32,2,Heilo36P,12
324,326,"REDMI 9 Power (Blazing Blue, 64 GB)",4.3,13999,https://rukminim2.flixcart.com/image/312/312/kkh6zrk0/mobile/o/o/c/redmi-9-power-mzb084xin-mzb084zin-mi-original-imafztfv3cywtzvz.jpeg?q=70,6000,64,4,Snapdragon662P,10
325,327,"REDMI 10 Prime 2022 (Bifrost Blue, 128 GB)",4.2,16999,https://rukminim2.flixcart.com/image/312/312/l3dcl8w0/mobile/z/d/5/10-prime-2022-22011119tl-redmi-original-imageg7xgeayhsjm.jpeg?q=70,6000,128,4,not mentioned,12
326,328,"REDMI A2 (Sea Green, 32 GB)",3.9,6515,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/g/t/a2-mobzc1pin-redmi-original-imagpvyagktrdava.jpeg?q=70,5000,32,2,not mentioned,13
327,329,"REDMI 12C (Lavender Purple, 6 GB)",2.5,11349,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/y/7/12c-12c-redmi-original-imagzh5shtwsc7bs.jpeg?q=70,5000,6,128,not mentioned,12
328,330,"REDMI Note 9 (Pebble Grey, 128 GB)",4.3,14999,https://rukminim2.flixcart.com/image/312/312/kd69z0w0/mobile/a/n/g/mi-redmi-note-9-b086982zkf-original-imafu4qf8gfcutde.jpeg?q=70,5020,128,6,Heilo85P,10
329,331,"REDMI Note 10 Pro Max (Dark Night, 128 GB)",4.3,21999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/z/o/-original-imaghfn2uqatzcnh.jpeg?q=70,5020,128,6,Snapdragon732G,12
330,332,"REDMI Note 10 Pro (Dark Night, 128 GB)",4.3,17990,https://rukminim2.flixcart.com/image/312/312/l0h1g280/mobile/e/h/c/-original-imagc9cqbgtgfzum.jpeg?q=70,5020,128,6,Snapdragon732G,11
331,333,"REDMI A2 (Aqua Blue, 64 GB)",3.9,7480,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/y/x/a2-mobzc1pin-redmi-original-imagpuzrt9tjdcdz.jpeg?q=70,5000,64,2,not mentioned,13
332,334,"REDMI Note 10S (Deep Sea Blue, 128 GB)",4.2,18499,https://rukminim2.flixcart.com/image/312/312/kyeqjrk0/mobile/y/u/t/-original-imagan9qzdf2hbgy.jpeg?q=70,5000,128,8,Heilo95P,11
333,335,"REDMI Note 10T 5G (Graphite Black, 128 GB)",4.2,13999,https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/9/c/x/-original-imagcaawbw9ev8zf.jpeg?q=70,5000,128,6,Dimensity700P,11
334,336,"REDMI 9i (Sea Blue, 64 GB)",4.3,8999,https://rukminim2.flixcart.com/image/312/312/kesv0y80/mobile/b/y/9/redmi-9i-mzb0815in-original-imafvehwghyuphbc.jpeg?q=70,5000,64,4,Heilo25P,10
335,337,"REDMI 10A (Slate Grey, 32 GB)",4.1,9599,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/p/m/-original-imagdrgp8pkbzccw.jpeg?q=70,5000,32,3,not mentioned,12
336,338,"REDMI 9 Activ (Carbon Black, 64 GB)",4.2,10999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/d/y/-original-imagj5u8zygyd2wt.jpeg?q=70,5000,64,4,not mentioned,11
337,339,"REDMI 10 Prime 2022 (Phantom Black, 128 GB)",4.2,15499,https://rukminim2.flixcart.com/image/312/312/l3dcl8w0/mobile/x/f/f/10-prime-2022-22011119tl-redmi-original-imagegdjpzq7zyxv.jpeg?q=70,6000,128,4,not mentioned,11
338,340,"REDMI Note 9 (Aqua Green, 64 GB)",4.3,12890,https://rukminim2.flixcart.com/image/312/312/kd69z0w0/mobile/4/z/u/mi-redmi-note-9-b086982zkf-original-imafu4pyhhpwuzaw.jpeg?q=70,5020,64,4,Heilo85P,10
339,341,"REDMI Note 10 JE 5G (Green, 64 GB)",3.7,11749,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/k/3/note-10-je-5g-xgio2-redmi-original-imagp9wsgjhavefx.jpeg?q=70,5000,64,4,not mentioned,10
340,342,"REDMI 10 (Caribbean Green, 64 GB)",4.3,13999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/h/n/10-220333qbi-redmi-original-imagzdyys2nrggsg.jpeg?q=70,6000,64,4,not mentioned,11
341,343,"REDMI Note 9 (Arctic White, 64 GB)",4.3,13990,https://rukminim2.flixcart.com/image/312/312/kd69z0w0/mobile/s/h/p/mi-redmi-note-9-b086982zkf-original-imafu4qfyyyrg8er.jpeg?q=70,5020,64,4,Heilo85P,10
342,344,"REDMI 9 Power (Mighty Black, 64 GB)",4.3,12990,https://rukminim2.flixcart.com/image/312/312/kj0bp8w0-0/mobile/d/e/1/9-power-mobhqab1-redmi-original-imafyz93hghvjkmu.jpeg?q=70,6000,64,4,Snapdragon662P,10
343,345,"REDMI A2 (Classic Black, 64 GB)",3.9,7490,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/f/s/a2-mobzc1pin-redmi-original-imagpuzhqhbphcg2.jpeg?q=70,5000,64,2,not mentioned,13
344,346,"REDMI A2 (Sea Green, 64 GB)",3.9,7490,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/g/t/a2-mobzc1pin-redmi-original-imagpvyagktrdava.jpeg?q=70,5000,64,2,not mentioned,13
345,347,"REDMI 11 Prime (Peppy Purple, 128 GB)",4.4,14999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/r/s/-original-imagn9khacndpbqz.jpeg?q=70,5000,128,6,not mentioned,12
346,348,"REDMI Note 9 Pro Max (Glacier White, 128 GB)",4.4,20999,https://rukminim2.flixcart.com/image/312/312/ke353m80/mobile/e/w/8/mi-redmi-note-9-pro-max-m2003j6b1i-original-imafuufspghrmqh4.jpeg?q=70,5020,128,6,Snapdragon720G,10
